time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-07-01T21:00:54.526Z,-21.2669,-173.7684,10,4.9,mb,,88,4.215,1.3,us,us700048c2,2019-07-01T22:28:43.040Z,"122km E of `Ohonua, Tonga",earthquake,15,1.9,0.11,26,reviewed,us,us
2019-07-01T20:42:45.494Z,59.8004,-153.5698,120.5,2.7,ml,,,,0.73,ak,ak0198dbyxg7,2019-07-01T20:52:14.157Z,"75km E of Old Iliamna, Alaska",earthquake,,0.3,,,automatic,ak,ak
2019-07-01T20:39:50.663Z,-7.4036,128.4684,138.63,5,mww,,27,2.863,0.95,us,us700048ay,2019-07-01T20:58:40.040Z,"Kepulauan Barat Daya, Indonesia",earthquake,7.3,6.3,0.066,22,reviewed,us,us
2019-07-01T20:29:36.510Z,18.3918,-68.134,101,2.91,md,11,194,0.6549,0.31,pr,pr2019182012,2019-07-01T23:14:10.381Z,"35km SE of Punta Cana, Dominican Republic",earthquake,2.94,1.93,0.36,8,reviewed,pr,pr
2019-07-01T20:21:14.020Z,19.0993328,-155.4388275,42.05,2.5,ml,51,185,0.05997,0.17,hv,hv71018816,2019-07-01T20:26:53.860Z,"12km SSE of Pahala, Hawaii",earthquake,0.7,0.95,0.18,4,automatic,hv,hv
2019-07-01T20:16:16.420Z,19.1240005,-155.4904938,44.93,2.45,md,24,166,0.04118,0.12,hv,hv71018801,2019-07-01T20:19:31.110Z,"9km S of Pahala, Hawaii",earthquake,1.28,1.2,0.16,5,automatic,hv,hv
2019-07-01T19:56:54.716Z,-30.6063,-177.9367,10,5.2,mb,,70,1.356,1.27,us,us70004895,2019-07-01T20:22:46.040Z,"129km NE of L'Esperance Rock, New Zealand",earthquake,8.5,1.8,0.05,130,reviewed,us,us
2019-07-01T19:44:54.000Z,18.0153,-65.4196,20,2.86,md,15,331,0.4476,0.78,pr,pr2019182015,2019-07-02T06:09:11.847Z,"10km SSE of Esperanza, Puerto Rico",earthquake,6.86,65.58,0.36,13,reviewed,pr,pr
2019-07-01T19:38:06.150Z,32.2437,48.9773,10,4.4,mb,,63,3.947,0.97,us,us7000488s,2019-07-01T20:27:30.040Z,"24km NNE of Shushtar, Iran",earthquake,7.9,1.9,0.085,40,reviewed,us,us
2019-07-01T18:11:29.298Z,59.7592,-136.5741,10,2.5,ml,,84,0.604,0.74,us,us7000486i,2019-07-01T20:07:04.040Z,"78km WNW of Skagway, Alaska",earthquake,4.7,2,,,reviewed,us,ak
2019-07-01T17:13:29.289Z,-15.461,167.5171,99.91,6,mww,,53,6.653,1.11,us,us70004840,2019-07-02T17:16:09.253Z,"38km ENE of Luganville, Vanuatu",earthquake,7.6,4.7,0.048,41,reviewed,us,us
2019-07-01T16:59:26.445Z,9.1883,124.2001,549.22,5.9,mww,,24,2.508,0.91,us,us7000483i,2019-07-02T17:02:01.309Z,"46km S of Valencia, Philippines",earthquake,9.4,3.5,0.04,59,reviewed,us,us
2019-07-01T16:35:15.657Z,39.3373,-99.4517,5,2.5,mb_lg,,75,0.567,0.36,us,us700048g2,2019-07-02T19:09:40.722Z,"17km NW of Plainville, Kansas",earthquake,2.9,2,0.082,39,reviewed,us,us
2019-07-01T16:24:36.840Z,19.6143,-66.4285,29,2.93,md,12,299,1.1416,0.27,pr,pr2019182010,2019-07-01T18:22:44.040Z,"124km N of Brenas, Puerto Rico",earthquake,1.39,18.79,0.39,10,reviewed,pr,pr
2019-07-01T15:53:07.220Z,19.5758,-66.2736,47,3.04,md,5,327,1.3196,0.12,pr,pr2019182011,2019-07-01T19:48:40.040Z,"110km N of Brenas, Puerto Rico",earthquake,1.77,9.09,0.18,5,reviewed,pr,pr
2019-07-01T15:20:29.300Z,44.5743333,-114.2958333,11.46,2.59,ml,20,74,0.688,0.24,mb,mb80350344,2019-07-01T18:31:55.354Z,"9km NNW of Challis, Idaho",earthquake,0.5,1.68,0.267,21,reviewed,mb,mb
